dataset,customers,time,distance,vehicles,distance_per_customer,customers_per_vehicle,complexity
C101,10,0.037,58.33,1,5.833,10.0,2.15821
C101,20,0.123,162.04,2,8.102,10.0,39.86184
C101,30,0.265,207.4,3,6.913333333333333,10.0,164.883
C101,40,0.766,346.15,5,8.653749999999999,8.0,1325.7545
C101,50,0.919,364.76,5,7.2951999999999995,10.0,1676.0722
R101,10,0.051,253.07,3,25.307,3.3333333333333335,38.71971
R101,20,0.385,480.43,6,24.0215,3.3333333333333335,1109.7933
R101,30,0.451,657.33,9,21.911,3.3333333333333335,2668.1024700000003
R101,40,0.629,820.47,9,20.51175,4.444444444444445,4644.680670000001
R101,50,2.12,985.37,11,19.7074,4.545454545454546,22978.828400000002
RC101,10,0.299,183.14,2,18.314,5.0,109.51771999999998
RC101,20,10.011,328.33,3,16.4165,6.666666666666667,9860.73489
RC101,30,10.012,488.79,4,16.293,7.5,19575.06192
RC101,40,10.018,606.43,5,15.160749999999998,8.0,30376.0787
RC101,50,10.03,974.52,9,19.4904,5.555555555555555,87969.9204
